nl_prompt,expected,bleu1,bleu2,bleu3
"Add ""prefix_"" to every non-blank line in ""a.txt""","['nl -s ""prefix_"" a.txt | cut -c7-']",0.3313643804421257,0.3497674990849062,0.3313643804421257
"Add a number prefix followed by ')' to each line in ""$string""","['echo ""$string"" | nl -ba -s\') \'']",0.8013288685510732,0.6842490521831456,0.8013288685510732
"Append the contents of ""file.txt"" to the current in-memory history list",['history -r file.txt'],1.0,0.5601658827714291,1.0
Append the current date to variable 'LBUFFER',"['LBUFFER+=""$(date)""']",1.0,1.0,0.6666467303030572
"Append the date and command ran to ""/tmp/trace"" after every command","['PROMPT_COMMAND=\'echo ""$(date +""%Y/%m/%d (%H:%M)"") $(history 1 |cut -c 7-)"" >> /tmp/trace\'']",0.5528417990798535,0.5528417990798535,0.5528417990798535
"Archive ""/path/to/copy"" on host ""remote.host"" as user ""user"" to ""/path/to/local/storage"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats user@remote.host:/path/to/copy /path/to/local/storage'],0.6038015675457404,0.6652189318979603,0.6490072191781537
"Archive ""/path/to/copy"" to ""/path/to/local/storage"" on host ""host.remoted.from"" as user ""user"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats /path/to/copy user@host.remoted.from:/path/to/local/storage'],0.6668783601766701,0.660842641137341,0.6814577148122123
"Archive ""_vim/"" to ""~/.vim"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vim/ ~/.vim'],0.21520371644400021,0.1945371936373954,0.8509527625828
"Archive ""_vimrc"" to ""~/.vimrc"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vimrc ~/.vimrc'],0.14805731022720398,0.3443849385313634,0.39960560220475577
"Archive ""directory"" preserving hard links from host ""remote"" to the current local directory and keep partial files, handle sparse files efficiently, and itemize changes made",['rsync -aPSHiv remote:directory .'],0.34616303038504875,0.27019907759833034,0.4027083420548615
"Archive ""source"" to ""root@remote_server_name:/opt/backups"" via ssh on port 3382 and compress data during transmission","[""rsync -avz --rsh='ssh -p3382' source root@remote_server_name:/opt/backups""]",0.5448768406408121,0.5489049518012648,0.5489049518012648
"Archive ""src"" to ""dest"" via ssh with permissions set to 755",['rsync -avz --chmod=ug=rwx --chmod=o=rx -e ssh src dest'],0.10389099346994778,0.1760489367713912,0.16035287481341728
"Archive ""user@remoteip:/path/to/files/"" to ""/local/path"" via ssh on port ""$portNumber"" and compressing data during transmission","['rsync -avz -e ""ssh -p $portNumber"" user@remoteip:/path/to/files/ /local/path/']",0.9869282919342729,0.6290069636111759,0.6263245700379928
"Archive all directories in /path/to/directory/* (only command line arguments, no sub-directories) to files with .tar.gz extension","['find /path/to/directory/* -maxdepth 0 -type d -printf ""%P\\n"" -exec sudo tar -zcpvf {}.tar.gz {} \\;']",0.3228316605483275,0.2186629347401217,0.2767249580305948
archive all files in a current directory modified in the last 30 days,['tar czvf mytarfile.tgz `find . -mtime -30`'],0.40042976973576483,0.3971116586781116,0.36654465203411035
"Archive directory specified by variable ""i"" to ""/iscsi"" preserving relative paths.",['rsync -avR $i /iscsi;'],0.2307857022189949,0.18015112494800173,0.2307857022189949
"as root, find from / all files called ""file.txt""",['sudo find / -name file.txt'],0.8645707301556367,0.8645707301556367,0.8645707301556367
Backup all of the Java files in the current directory tree by copying them and appending the suffix .bk to each,"['find . -name ""*.java"" -exec cp {} {}.bk \\;']",0.8295506135027156,0.7702936001183985,0.4761439307742379
Calculate the md5 checksum of the current directory structure and save it in variable SUM,['SUM=$(tree | md5sum)'],0.14102939312687593,0.13801228546313493,0.1686876393255404
"Calculate the md5 sum of ""yourstring""","['echo -n ""yourstring"" |md5sum']",0.9061874434879645,0.9061874434879645,0.9061874434879645
"Calculate the md5 sum of all files in ""/your/dir"" including content and filenames and following symbolic links",['grep -aR -e . /your/dir | md5sum | cut -c-32'],0.354107985851604,0.354107985851604,0.4570583602596555
"Calculate the md5 sum of every "".py"" file in directory tree ""/path""","['find /path -type f -name ""*.py"" -exec md5sum ""{}"" +;']",0.8851839091847141,0.8897237929204201,0.8733916463498157
Calculate md5 sum of file $item and save it to variable 'md5',['md5=$(md5sum $item | cut -f1 -d\\ )'],0.6349676730211347,0.5049608579142906,0.6945551161861689
Calculate the sum of all the numbers from 1 to 100000,['seq 100000 | paste -sd+ | bc -l'],0.16793741846641433,0.1645494395423276,0.898397321348071
Change directory to the directory containing the current script,['cd $(dirname $(which $0) )'],0.42072260242953097,0.42072260242953097,0.36825629760285444
