nl_prompt,expected,bleu1,bleu2,bleu3
"Add ""prefix_"" to every non-blank line in ""a.txt""","['nl -s ""prefix_"" a.txt | cut -c7-']",0.3980603876800135,0.2411793345883071,0.31424682348179656
"Add a number prefix followed by ')' to each line in ""$string""","['echo ""$string"" | nl -ba -s\') \'']",0.5771494726270067,0.37550930371271474,0.5065289743550637
"Append the contents of ""file.txt"" to the current in-memory history list",['history -r file.txt'],0.8492326635760689,0.8492326635760689,0.8492326635760689
Append the current date to variable 'LBUFFER',"['LBUFFER+=""$(date)""']",0.25474814859888123,0.3875738939089708,0.5875766810867468
"Append the date and command ran to ""/tmp/trace"" after every command","['PROMPT_COMMAND=\'echo ""$(date +""%Y/%m/%d (%H:%M)"") $(history 1 |cut -c 7-)"" >> /tmp/trace\'']",0.35705135751022776,0.03924882536048328,0.10101098397449357
"Archive ""/path/to/copy"" on host ""remote.host"" as user ""user"" to ""/path/to/local/storage"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats user@remote.host:/path/to/copy /path/to/local/storage'],0.9173528628910451,0.6942013858321331,0.5742012824550614
"Archive ""/path/to/copy"" to ""/path/to/local/storage"" on host ""host.remoted.from"" as user ""user"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats /path/to/copy user@host.remoted.from:/path/to/local/storage'],0.7916421564545233,0.6478703888080672,0.6777760312565767
"Archive ""_vim/"" to ""~/.vim"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vim/ ~/.vim'],0.5322898913303924,0.6168532909474493,0.3369889247197155
"Archive ""_vimrc"" to ""~/.vimrc"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vimrc ~/.vimrc'],0.7282821124436853,0.26536407188405525,0.08118195798457256
"Archive ""directory"" preserving hard links from host ""remote"" to the current local directory and keep partial files, handle sparse files efficiently, and itemize changes made",['rsync -aPSHiv remote:directory .'],0.29401030503262493,0.5234484809182233,0.41319932584995894
"Archive ""source"" to ""root@remote_server_name:/opt/backups"" via ssh on port 3382 and compress data during transmission","[""rsync -avz --rsh='ssh -p3382' source root@remote_server_name:/opt/backups""]",0.2753491687376866,0.7007544015018917,0.47338639212898487
"Archive ""src"" to ""dest"" via ssh with permissions set to 755",['rsync -avz --chmod=ug=rwx --chmod=o=rx -e ssh src dest'],0.2071397295518634,0.2688027713632707,0.3207881602813029
"Archive ""user@remoteip:/path/to/files/"" to ""/local/path"" via ssh on port ""$portNumber"" and compressing data during transmission","['rsync -avz -e ""ssh -p $portNumber"" user@remoteip:/path/to/files/ /local/path/']",0.6534323709866218,0.6116996490060598,0.7493924695614239
"Archive all directories in /path/to/directory/* (only command line arguments, no sub-directories) to files with .tar.gz extension","['find /path/to/directory/* -maxdepth 0 -type d -printf ""%P\\n"" -exec sudo tar -zcpvf {}.tar.gz {} \\;']",0.5809623374749163,0.2594365501287769,0.12097764585984243
archive all files in a current directory modified in the last 30 days,['tar czvf mytarfile.tgz `find . -mtime -30`'],0.379179417872223,0.3618607052180856,0.39142187163243775
"Archive directory specified by variable ""i"" to ""/iscsi"" preserving relative paths.",['rsync -avR $i /iscsi;'],0.5538142279874649,0.3444037291432751,0.7671176261207451
"as root, find from / all files called ""file.txt""",['sudo find / -name file.txt'],0.788127627745311,0.788127627745311,0.7300980876386182
Backup all of the Java files in the current directory tree by copying them and appending the suffix .bk to each,"['find . -name ""*.java"" -exec cp {} {}.bk \\;']",0.9128807466725294,0.7477372124731662,0.26814112621506114
Calculate the md5 checksum of the current directory structure and save it in variable SUM,['SUM=$(tree | md5sum)'],0.126254971485354,0.09970617113450042,0.21052773995523869
"Calculate the md5 sum of ""yourstring""","['echo -n ""yourstring"" |md5sum']",0.6375755584556164,0.6375755584556164,0.6375755584556164
"Calculate the md5 sum of all files in ""/your/dir"" including content and filenames and following symbolic links",['grep -aR -e . /your/dir | md5sum | cut -c-32'],0.40074596990712436,0.4646770361393315,0.3583931101213948
"Calculate the md5 sum of every "".py"" file in directory tree ""/path""","['find /path -type f -name ""*.py"" -exec md5sum ""{}"" +;']",0.4230764328178786,0.6099271075007728,0.8848031985289407
Calculate md5 sum of file $item and save it to variable 'md5',['md5=$(md5sum $item | cut -f1 -d\\ )'],0.4338510209949939,0.4338510209949939,0.41793416174762876
Calculate the sum of all the numbers from 1 to 100000,['seq 100000 | paste -sd+ | bc -l'],0.5305656184234158,0.3441537868654123,0.3441537868654123
Change directory to the directory containing the current script,['cd $(dirname $(which $0) )'],0.5084601438570167,0.47849005731029853,0.5574639772226956
"change the extension of all the "".lst"" files in the current folder to ""a.lst""",['find -name ‘*.lst’ -exec rename .lst a.lst {} \\;'],0.3887114872801651,0.4409920287147963,0.20199125682381375
"Change file owner and group of ""/path/to/yourapp"" to root and print a diagnostic",['chown -v root:root /path/to/yourapp'],0.8431339019329497,0.8868405031432041,0.8868405031432041
Change file permissions on all regular files within a directory,['find /path/to/directory -type f -exec chmod 644 {} +'],0.3938778206715069,0.5118379508181496,0.5562867665786994
"change owner and group of the file ""/path/to/yourapp"" to root",['chown -v root:root /path/to/yourapp'],0.8431339019329497,0.8431339019329497,0.8431339019329497
"Change the owner of ""/var/www/html/mysite/images/"" to ""nobody""",['sudo chown nobody /var/www/html/mysite/images/'],1.0,1.0,1.0
"Change the owner of all files in the directory tree ""dir_to_start"" excluding file ""file_to_exclude"" to ""owner""","['find dir_to_start -not -name ""file_to_exclude""  -print0 | xargs -0 chown owner']",0.6543028286325452,0.8510290689962244,0.7688560319252226
"Change ownership of ""/vol"" to the current user",['sudo chown `whoami` /vol'],0.4496214833476127,0.8503660296949875,0.8503660296949875
change the permissions of all the directories in the folder root_dir to 555,['find root_dir -type d -exec chmod 555 {} \\;'],1.0,0.6534073359857765,0.9144061946646023
Change permissions to 644 for all regular files under and below /path/to/someDirectory/,['find /path/to/someDirectory -type f -print0 | xargs -0 sudo chmod 644'],0.9134521958585359,0.6301122854803163,0.6493595907503654
change to a directory and search for a file in that directory,"[""cd /nfs//office/ && find . -name '.user.log'""]",0.2311913893531345,0.15343824622596475,0.2779936226657449
"Change to directory 'xyz' and resolve any symlinks in the resulting path, making the physical path the current one.",['cd -P xyz'],0.10046152640557755,0.0855659914079451,0.4468310718440575
Changes to the directory where 'ssh' executable is located.,['cd $(dirname $(which ssh));'],0.27648453453084176,0.3544597962681015,0.3544597962681015
"Check all .txt files whether they contain ""needle""","['find . -type f -iname ""*.txt"" -print | xargs grep ""needle""']",0.5566078730522501,0.6995590918703474,0.6402975770646256
"Check if ""$FILE_PATH"" exists on ""$HOST""","['ssh -q $HOST [[ -f $FILE_PATH ]] && echo ""File exists"" || echo ""File does not exist"";']",0.09924588368633463,0.0675992832083133,0.07682067982944714
"Check if the contents of file ""subset"" is a subset of file ""set""",['comm -23 <(sort subset | uniq) <(sort set | uniq) | head -1'],0.2272684468405791,0.23424357446891883,0.21800081716742958
check the previous alias in current list,['alias | grep my_previous_alias'],0.41220068332005494,0.369890590764321,0.29573993057934567
"Compress ""Hello world"", base64 encode, and save to variable ""FOO""","['FOO=$(echo ""Hello world"" | gzip | base64)']",0.570023378429769,0.5541748559474141,0.38880132685874913
"Compress all "".txt"" files in all sub directories with gzip",['gzip */*.txt'],0.1069893156459595,0.12000796932295155,0.125405948089153
Compress all files with '.txt' extension under current directory,['echo *.txt | xargs gzip -9'],0.12671594061839467,0.34661807696896585,0.23253775401768095
Concatenate files containing `test' in their names,"[""find . -name '*test*' -exec cat {} \\;""]",0.08956271820172426,0.3554621519956452,0.0696276100302932
"Connect to host ""remotehost"" as ssh user ""user"" to copy remote file ""/location/KMST_DataFile_*.kms"" to current directory on local host.",['scp -v user@remotehost:/location/KMST_DataFile_*.kms'],0.9302410170947133,0.9302410170947133,0.6049113890954202
"Continuously write ""Hidden"" over the entire ""/dev/sdb"" disk","['yes ""Hidden"" | dd of=/dev/sdb']",0.5818640120883736,0.5818640120883736,0.5336769649505709
"Continuously write ""UUUUUUUUUUUUUUUUU"" without newlines to ""/dev/to/overwrite""","[""yes 'UUUUUUUUUUUUUUUUU' | tr -d '\\n' > /dev/to/overwrite""]",0.7656266423913749,0.33767039859182263,0.6855284597893522
"Copy ""/home/username/path/on/server/"" to ""username@your.ip.address.here:/Users/username/path/on/machine/"" and convert encoding from UTF-8 to UTF-8-MAC","[""rsync --iconv=UTF-8,UTF-8-MAC /home/username/path/on/server/ 'username@your.ip.address.here:/Users/username/path/on/machine/'""]",0.7841111538908483,0.7752772031935095,0.788608270842425
