nl_prompt,expected,bleu1,bleu2,bleu3
"Add ""prefix_"" to every non-blank line in ""a.txt""","['nl -s ""prefix_"" a.txt | cut -c7-']",0.34111018121763237,0.3562765215851269,0.4004704746512827
"Add a number prefix followed by ')' to each line in ""$string""","['echo ""$string"" | nl -ba -s\') \'']",0.5228203552917837,0.5949095982793481,0.5949095982793481
"Append the contents of ""file.txt"" to the current in-memory history list",['history -r file.txt'],0.8492326635760689,0.5184523483401163,0.8492326635760689
Append the current date to variable 'LBUFFER',"['LBUFFER+=""$(date)""']",0.4123359516318769,0.15209398106032304,0.34917266802171815
"Append the date and command ran to ""/tmp/trace"" after every command","['PROMPT_COMMAND=\'echo ""$(date +""%Y/%m/%d (%H:%M)"") $(history 1 |cut -c 7-)"" >> /tmp/trace\'']",0.24640992658781413,0.17462512024811658,0.21638938059034699
"Archive ""/path/to/copy"" on host ""remote.host"" as user ""user"" to ""/path/to/local/storage"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats user@remote.host:/path/to/copy /path/to/local/storage'],0.41166307371363886,0.7234204674666086,0.5815931995293246
"Archive ""/path/to/copy"" to ""/path/to/local/storage"" on host ""host.remoted.from"" as user ""user"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats /path/to/copy user@host.remoted.from:/path/to/local/storage'],0.5927033748273114,0.5784082016991388,0.6157401527196441
"Archive ""_vim/"" to ""~/.vim"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vim/ ~/.vim'],0.02301759405563855,0.12398808680093011,0.039082129466782176
"Archive ""_vimrc"" to ""~/.vimrc"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vimrc ~/.vimrc'],0.012024370427197317,0.3641410562218427,0.18304160536389957
"Archive ""directory"" preserving hard links from host ""remote"" to the current local directory and keep partial files, handle sparse files efficiently, and itemize changes made",['rsync -aPSHiv remote:directory .'],0.11176871653016406,0.49690642091733905,0.2593228776230562
"Archive ""source"" to ""root@remote_server_name:/opt/backups"" via ssh on port 3382 and compress data during transmission","[""rsync -avz --rsh='ssh -p3382' source root@remote_server_name:/opt/backups""]",0.4588609920947452,0.04860006165502867,0.7608652002108286
"Archive ""src"" to ""dest"" via ssh with permissions set to 755",['rsync -avz --chmod=ug=rwx --chmod=o=rx -e ssh src dest'],0.129695774088298,0.39974125077646466,0.3716178901926428
"Archive ""user@remoteip:/path/to/files/"" to ""/local/path"" via ssh on port ""$portNumber"" and compressing data during transmission","['rsync -avz -e ""ssh -p $portNumber"" user@remoteip:/path/to/files/ /local/path/']",0.542920572351582,0.48682808328652677,0.8146363000663622
"Archive all directories in /path/to/directory/* (only command line arguments, no sub-directories) to files with .tar.gz extension","['find /path/to/directory/* -maxdepth 0 -type d -printf ""%P\\n"" -exec sudo tar -zcpvf {}.tar.gz {} \\;']",0.5585088106208522,0.47701317312184643,0.5216330832319814
archive all files in a current directory modified in the last 30 days,['tar czvf mytarfile.tgz `find . -mtime -30`'],0.3425890819993464,0.3428270436981208,0.3425890819993464
"Archive directory specified by variable ""i"" to ""/iscsi"" preserving relative paths.",['rsync -avR $i /iscsi;'],0.2804660070707932,0.18191105411309225,0.34266359503526506
"as root, find from / all files called ""file.txt""",['sudo find / -name file.txt'],0.7438937460673687,0.788127627745311,0.6344813391798402
Backup all of the Java files in the current directory tree by copying them and appending the suffix .bk to each,"['find . -name ""*.java"" -exec cp {} {}.bk \\;']",0.29046073341206613,0.9128807466725294,0.9128807466725294
Calculate the md5 checksum of the current directory structure and save it in variable SUM,['SUM=$(tree | md5sum)'],0.07791854641890371,0.2806539089090004,0.29604628028663643
"Calculate the md5 sum of ""yourstring""","['echo -n ""yourstring"" |md5sum']",0.8033867204961556,0.6375755584556164,0.6375755584556164
"Calculate the md5 sum of all files in ""/your/dir"" including content and filenames and following symbolic links",['grep -aR -e . /your/dir | md5sum | cut -c-32'],0.32873315068637843,0.44357108585458077,0.4233552976549774
"Calculate the md5 sum of every "".py"" file in directory tree ""/path""","['find /path -type f -name ""*.py"" -exec md5sum ""{}"" +;']",0.7616331809966416,0.47436871638500105,0.5801460008217593
Calculate md5 sum of file $item and save it to variable 'md5',['md5=$(md5sum $item | cut -f1 -d\\ )'],0.5030809607722491,0.5347324710913668,0.34435990140987727
Calculate the sum of all the numbers from 1 to 100000,['seq 100000 | paste -sd+ | bc -l'],0.5350556266111113,0.4401791773303016,0.21458243245236805
Change directory to the directory containing the current script,['cd $(dirname $(which $0) )'],0.41127953259666433,0.46460597133583104,0.5050670581742859
"change the extension of all the "".lst"" files in the current folder to ""a.lst""",['find -name ‘*.lst’ -exec rename .lst a.lst {} \\;'],0.38274067698744757,0.05209551905891193,0.41355577176848396
"Change file owner and group of ""/path/to/yourapp"" to root and print a diagnostic",['chown -v root:root /path/to/yourapp'],0.5101197314025492,0.8431339019329497,0.8868405031432041
Change file permissions on all regular files within a directory,['find /path/to/directory -type f -exec chmod 644 {} +'],0.49516426250182244,0.5791135237820698,0.464497236862837
"change owner and group of the file ""/path/to/yourapp"" to root",['chown -v root:root /path/to/yourapp'],0.8868405031432041,0.8868405031432041,0.8431339019329497
"Change the owner of ""/var/www/html/mysite/images/"" to ""nobody""",['sudo chown nobody /var/www/html/mysite/images/'],1.0,1.0,1.0
"Change the owner of all files in the directory tree ""dir_to_start"" excluding file ""file_to_exclude"" to ""owner""","['find dir_to_start -not -name ""file_to_exclude""  -print0 | xargs -0 chown owner']",0.7520484900271519,0.6869600755640367,0.6644336427262024
"Change ownership of ""/vol"" to the current user",['sudo chown `whoami` /vol'],1.0,0.4496214833476127,0.7315339097995036
change the permissions of all the directories in the folder root_dir to 555,['find root_dir -type d -exec chmod 555 {} \\;'],0.9523426443139505,1.0,0.9144061946646023
Change permissions to 644 for all regular files under and below /path/to/someDirectory/,['find /path/to/someDirectory -type f -print0 | xargs -0 sudo chmod 644'],0.6301122854803163,0.6282207591747897,0.9134521958585359
change to a directory and search for a file in that directory,"[""cd /nfs//office/ && find . -name '.user.log'""]",0.19083638421588456,0.33052439077080725,0.11968947331186654
"Change to directory 'xyz' and resolve any symlinks in the resulting path, making the physical path the current one.",['cd -P xyz'],5.330299697262783e-155,3.5029292676676116e-78,3.8804806708023324e-78
Changes to the directory where 'ssh' executable is located.,['cd $(dirname $(which ssh));'],0.9622687143632572,0.9622687143632572,0.4679375097697339
"Check all .txt files whether they contain ""needle""","['find . -type f -iname ""*.txt"" -print | xargs grep ""needle""']",0.41620985951996925,0.8051969123420922,0.5568620931144364
"Check if ""$FILE_PATH"" exists on ""$HOST""","['ssh -q $HOST [[ -f $FILE_PATH ]] && echo ""File exists"" || echo ""File does not exist"";']",0.19032134269212198,0.11323680564387678,0.20623738522138385
"Check if the contents of file ""subset"" is a subset of file ""set""",['comm -23 <(sort subset | uniq) <(sort set | uniq) | head -1'],0.07176634277770544,0.4526232525175583,0.14731409625439668
check the previous alias in current list,['alias | grep my_previous_alias'],0.2503955135641583,0.12424792411593043,0.3545649986147617
"Compress ""Hello world"", base64 encode, and save to variable ""FOO""","['FOO=$(echo ""Hello world"" | gzip | base64)']",0.40520095407320217,0.03247032665512848,0.07556832733251027
"Compress all "".txt"" files in all sub directories with gzip",['gzip */*.txt'],0.08217872824058595,0.14552750619606428,0.10447015481416681
Compress all files with '.txt' extension under current directory,['echo *.txt | xargs gzip -9'],0.2126707920684064,0.2343166867340686,0.12671594061839467
Concatenate files containing `test' in their names,"[""find . -name '*test*' -exec cat {} \\;""]",0.07593264650782743,0.11912074202372534,0.0651453954268281
"Connect to host ""remotehost"" as ssh user ""user"" to copy remote file ""/location/KMST_DataFile_*.kms"" to current directory on local host.",['scp -v user@remotehost:/location/KMST_DataFile_*.kms'],0.7926618568923233,0.7797687490139892,0.9252290210934357
"Continuously write ""Hidden"" over the entire ""/dev/sdb"" disk","['yes ""Hidden"" | dd of=/dev/sdb']",0.44309192029560485,0.46172510665759814,0.45747273835758023
"Continuously write ""UUUUUUUUUUUUUUUUU"" without newlines to ""/dev/to/overwrite""","[""yes 'UUUUUUUUUUUUUUUUU' | tr -d '\\n' > /dev/to/overwrite""]",0.03582730976437544,0.03582730976437544,0.03720596196661157
"Copy ""/home/username/path/on/server/"" to ""username@your.ip.address.here:/Users/username/path/on/machine/"" and convert encoding from UTF-8 to UTF-8-MAC","[""rsync --iconv=UTF-8,UTF-8-MAC /home/username/path/on/server/ 'username@your.ip.address.here:/Users/username/path/on/machine/'""]",0.4986914417327045,0.7528164570283398,0.611413086160083
Copy a file xyz.c to all directories or over all files matching the letter 'c' at the end of their names under current directory tree,"['find . -name ""*c"" -print0 | xargs -0 -n1 cp xyz.c']",0.5141819955611835,0.4133589948692794,0.3289517304766274
"Copy a large sparse file ""sparse-1"" to ""sparse-1-copy""",['rsync --sparse sparse-1 sparse-1-copy'],0.4339646352544193,0.30033291685251673,0.5659957350896259
"Copy all "".php"" files in ""projects/"" directory tree to ""copy/"" preserving directory hierarchy","[""find projects/ -name '*.php' -print | cpio -pdm copy/""]",0.5239642990965228,0.6923863564428775,0.6589760106096503
