nl_prompt,expected,bleu1,bleu2,bleu3
"Add ""prefix_"" to every non-blank line in ""a.txt""","['nl -s ""prefix_"" a.txt | cut -c7-']",0.12492148200526047,0.16464763429038118,0.18633196606662233
"Add a number prefix followed by ')' to each line in ""$string""","['echo ""$string"" | nl -ba -s\') \'']",0.23900044076213986,0.2917329527706681,0.19801381702054077
"Append the contents of ""file.txt"" to the current in-memory history list",['history -r file.txt'],0.3578267293617977,0.8492326635760689,0.538050876574231
Append the current date to variable 'LBUFFER',"['LBUFFER+=""$(date)""']",0.6666467303030572,0.7816275318041329,0.3964513253420688
"Append the date and command ran to ""/tmp/trace"" after every command","['PROMPT_COMMAND=\'echo ""$(date +""%Y/%m/%d (%H:%M)"") $(history 1 |cut -c 7-)"" >> /tmp/trace\'']",0.030875673170037532,0.274671042266268,0.14010418952436915
"Archive ""/path/to/copy"" on host ""remote.host"" as user ""user"" to ""/path/to/local/storage"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats user@remote.host:/path/to/copy /path/to/local/storage'],0.7830312781877055,0.7974175070363193,0.7957280920313001
"Archive ""/path/to/copy"" to ""/path/to/local/storage"" on host ""host.remoted.from"" as user ""user"" updating files with different checksums, showing human readable progress and statistics, and compressing data during transmission",['rsync -chavzP --stats /path/to/copy user@host.remoted.from:/path/to/local/storage'],0.734971582645932,0.7999176594453972,0.4926374439377083
"Archive ""_vim/"" to ""~/.vim"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vim/ ~/.vim'],0.6173717114381875,0.6169034543248991,0.6651557976544797
"Archive ""_vimrc"" to ""~/.vimrc"" suppressing non-error messages and compressing data during transmission",['rsync -aqz _vimrc ~/.vimrc'],0.23952444179768462,0.49615666340750453,0.6097136682923002
"Archive ""directory"" preserving hard links from host ""remote"" to the current local directory and keep partial files, handle sparse files efficiently, and itemize changes made",['rsync -aPSHiv remote:directory .'],0.5852432074546792,0.0984095389634934,0.5922111127396987
"Archive ""source"" to ""root@remote_server_name:/opt/backups"" via ssh on port 3382 and compress data during transmission","[""rsync -avz --rsh='ssh -p3382' source root@remote_server_name:/opt/backups""]",0.5151794408959023,0.7652466731209745,0.4972962969247816
"Archive ""src"" to ""dest"" via ssh with permissions set to 755",['rsync -avz --chmod=ug=rwx --chmod=o=rx -e ssh src dest'],0.13458930142907594,0.37243404341290864,0.21960151776073705
"Archive ""user@remoteip:/path/to/files/"" to ""/local/path"" via ssh on port ""$portNumber"" and compressing data during transmission","['rsync -avz -e ""ssh -p $portNumber"" user@remoteip:/path/to/files/ /local/path/']",0.14673279917117518,0.5397859503885458,0.7144295525802888
"Archive all directories in /path/to/directory/* (only command line arguments, no sub-directories) to files with .tar.gz extension","['find /path/to/directory/* -maxdepth 0 -type d -printf ""%P\\n"" -exec sudo tar -zcpvf {}.tar.gz {} \\;']",0.5094796097329403,0.5803129107515451,0.6892429673267999
archive all files in a current directory modified in the last 30 days,['tar czvf mytarfile.tgz `find . -mtime -30`'],0.37693871926036826,0.32941932990754186,0.37903615240223665
"Archive directory specified by variable ""i"" to ""/iscsi"" preserving relative paths.",['rsync -avR $i /iscsi;'],0.34828042315919955,0.951229424500714,0.4513448669460296
"as root, find from / all files called ""file.txt""",['sudo find / -name file.txt'],0.788127627745311,0.7300980876386182,0.7300980876386182
Backup all of the Java files in the current directory tree by copying them and appending the suffix .bk to each,"['find . -name ""*.java"" -exec cp {} {}.bk \\;']",0.7241423666999476,0.41823369863511256,0.6414781852825581
Calculate the md5 checksum of the current directory structure and save it in variable SUM,['SUM=$(tree | md5sum)'],0.32385792338022384,0.2682600221134365,0.2380050699329688
"Calculate the md5 sum of ""yourstring""","['echo -n ""yourstring"" |md5sum']",0.6375755584556164,0.44027945940585717,0.6375755584556164
"Calculate the md5 sum of all files in ""/your/dir"" including content and filenames and following symbolic links",['grep -aR -e . /your/dir | md5sum | cut -c-32'],0.40508073711036413,0.16360659985679654,0.3994436305893711
"Calculate the md5 sum of every "".py"" file in directory tree ""/path""","['find /path -type f -name ""*.py"" -exec md5sum ""{}"" +;']",0.46226645009548945,0.6099271075007728,0.6099271075007728
Calculate md5 sum of file $item and save it to variable 'md5',['md5=$(md5sum $item | cut -f1 -d\\ )'],0.486918896885932,0.6945551161861689,0.4157936976124742
Calculate the sum of all the numbers from 1 to 100000,['seq 100000 | paste -sd+ | bc -l'],0.3846208555567545,0.5240290825535995,0.7746007785621336
Change directory to the directory containing the current script,['cd $(dirname $(which $0) )'],0.33466774388661735,0.1782795591170471,0.21476074991338015
"change the extension of all the "".lst"" files in the current folder to ""a.lst""",['find -name ‘*.lst’ -exec rename .lst a.lst {} \\;'],0.15047149445189378,0.2389848105311319,0.24350711346252712
"Change file owner and group of ""/path/to/yourapp"" to root and print a diagnostic",['chown -v root:root /path/to/yourapp'],0.716506050505695,0.7423103725116007,0.8034328145121407
Change file permissions on all regular files within a directory,['find /path/to/directory -type f -exec chmod 644 {} +'],0.49516426250182244,0.4578954850839661,0.620444817045212
"change owner and group of the file ""/path/to/yourapp"" to root",['chown -v root:root /path/to/yourapp'],0.8868405031432041,0.8431339019329497,0.8431339019329497
"Change the owner of ""/var/www/html/mysite/images/"" to ""nobody""",['sudo chown nobody /var/www/html/mysite/images/'],0.9368059007925257,1.0,1.0
"Change the owner of all files in the directory tree ""dir_to_start"" excluding file ""file_to_exclude"" to ""owner""","['find dir_to_start -not -name ""file_to_exclude""  -print0 | xargs -0 chown owner']",0.6393381968996166,0.5641775417648462,0.6664774719645213
"Change ownership of ""/vol"" to the current user",['sudo chown `whoami` /vol'],0.5697863655544793,0.5697863655544793,0.5701595435903216
change the permissions of all the directories in the folder root_dir to 555,['find root_dir -type d -exec chmod 555 {} \\;'],1.0,1.0,1.0
Change permissions to 644 for all regular files under and below /path/to/someDirectory/,['find /path/to/someDirectory -type f -print0 | xargs -0 sudo chmod 644'],0.6515885699104477,0.6282207591747897,0.6515885699104477
change to a directory and search for a file in that directory,"[""cd /nfs//office/ && find . -name '.user.log'""]",0.3258474303417847,0.1281223900388171,0.41469233998159744
"Change to directory 'xyz' and resolve any symlinks in the resulting path, making the physical path the current one.",['cd -P xyz'],1.4591279591169653e-78,0.19835441454182887,1.7609048334559646e-78
Changes to the directory where 'ssh' executable is located.,['cd $(dirname $(which ssh));'],0.09244817597170958,0.8645707301556367,0.9622687143632572
"Check all .txt files whether they contain ""needle""","['find . -type f -iname ""*.txt"" -print | xargs grep ""needle""']",0.5590168871271106,0.7217128711315647,0.5568620931144364
"Check if ""$FILE_PATH"" exists on ""$HOST""","['ssh -q $HOST [[ -f $FILE_PATH ]] && echo ""File exists"" || echo ""File does not exist"";']",0.21405879677454911,0.167850267756816,0.19753268685436962
"Check if the contents of file ""subset"" is a subset of file ""set""",['comm -23 <(sort subset | uniq) <(sort set | uniq) | head -1'],0.06390043540679863,0.3307482002019537,0.3233998029272001
check the previous alias in current list,['alias | grep my_previous_alias'],0.045203824166015344,0.043494914305619775,0.3900049863363209
"Compress ""Hello world"", base64 encode, and save to variable ""FOO""","['FOO=$(echo ""Hello world"" | gzip | base64)']",0.4120687538741461,0.16193375903680196,0.40683810125935144
"Compress all "".txt"" files in all sub directories with gzip",['gzip */*.txt'],0.12148431820956998,0.13111138531756522,0.06290452551314009
Compress all files with '.txt' extension under current directory,['echo *.txt | xargs gzip -9'],0.40988458894920865,0.28509173779340496,0.2645675921773855
Concatenate files containing `test' in their names,"[""find . -name '*test*' -exec cat {} \\;""]",0.4412897857101915,0.10920968859591808,0.26422214202604993
"Connect to host ""remotehost"" as ssh user ""user"" to copy remote file ""/location/KMST_DataFile_*.kms"" to current directory on local host.",['scp -v user@remotehost:/location/KMST_DataFile_*.kms'],0.5461973297407062,0.5674798798481823,0.6817567490888458
"Continuously write ""Hidden"" over the entire ""/dev/sdb"" disk","['yes ""Hidden"" | dd of=/dev/sdb']",0.2954049312613968,3.7829965197917335e-155,0.3829453159673758
"Continuously write ""UUUUUUUUUUUUUUUUU"" without newlines to ""/dev/to/overwrite""","[""yes 'UUUUUUUUUUUUUUUUU' | tr -d '\\n' > /dev/to/overwrite""]",0.6981439473597614,0.7257897709963108,0.6251263021883782
"Copy ""/home/username/path/on/server/"" to ""username@your.ip.address.here:/Users/username/path/on/machine/"" and convert encoding from UTF-8 to UTF-8-MAC","[""rsync --iconv=UTF-8,UTF-8-MAC /home/username/path/on/server/ 'username@your.ip.address.here:/Users/username/path/on/machine/'""]",0.871332332623878,0.8497351173848986,0.8281077590668019
Copy a file xyz.c to all directories or over all files matching the letter 'c' at the end of their names under current directory tree,"['find . -name ""*c"" -print0 | xargs -0 -n1 cp xyz.c']",0.3204547165841461,0.45534054347357905,0.27697127521051845
"Copy a large sparse file ""sparse-1"" to ""sparse-1-copy""",['rsync --sparse sparse-1 sparse-1-copy'],0.2069371582230045,0.2317602468723414,0.2040769215977175
"Copy all "".php"" files in ""projects/"" directory tree to ""copy/"" preserving directory hierarchy","[""find projects/ -name '*.php' -print | cpio -pdm copy/""]",0.5199460570871317,0.6883187905040715,0.484657766070873
Copy all *.data files under /source_path to /target_path by appending the parent directory names in the source paths to the beginning of each of the target file names,"['find /source_path -name \\*.data  | while read -r filename; do cp ""${filename}"" ""$(printf ""%s\\n"" ""${filename}"" | sed ""s/^.*[/]\\(category[^/]*\\)[/]\\(.*[.]data\\)$/\\/target_path\\/\\1_\\2/"")""; done']",0.16042442314826943,0.0790685827514432,0.17990870768706216
Copy all files/directories excluding *.flac files under current directory to /media/wd/network_sync/music directory,"['find . -type f -iname ""*.flac"" -o -print0 -iname ""*.mp3"" -print0 -o -iname ""*.wav"" -print0 -o -iname ""*.aac"" -print0 -o -iname ""*.wma"" -print0 | while read -d $\'\\0\' file; do cp -ruv ""$file"" ""/media/wd/network_sync/music/$file""; done']",0.07715692678471774,0.09497500975717747,0.16765498731598288
"Copy all files and directories under the current directory into ""../new"" preserving relative paths",['find -print0 | sort -z | cpio -pdv0 ../new'],0.3020421809721222,0.6283971364671961,0.5663555988584539
Copy all files in current directory that do not match */exlude-path/* in their paths to /destination/ preserving directory structure,"[""find . -type f -not -path '*/exlude-path/*' -exec cp --parents '{}' '/destination/' \\;""]",0.6260406026929385,0.6260406026929385,0.6909294777120316
Copy all files with '.png' (case insensitive) extension under '/home/mine' directory tree to '/home/mine/pngcoppies/' directory with new names constructed by prepending 'copy' in their names,"['find  /home/mine -iname ""*.png"" -printf ""%P\\n "" | xargs  -I % -n1 cp %  /home/mine/pngcoppies/copy%']",0.39525651376790943,0.5827484138493966,0.4466305462007888
copy all java files from current folder to another folder,"['find . -name ""*.java"" -print0 | xargs -0 -J % cp % destinationFolder']",0.2891312275791878,0.27280987620905794,0.4621599850993674
"Copy all regular files whose names end in ""~"" from the /path directory tree to ~/backups/","[""find /path -type f -name '*~' -print0 | xargs -0 -I % cp -a % ~/backups""]",0.35929381179056535,0.5041487534440743,0.5776070219785524
Copies file 'file.dat' to each top-level directory in the current directory.,['ls | xargs -n 1 cp -i file.dat'],0.3311960576255507,0.27515030484415853,0.3331376576791161
Copies file 'test' to each of directories like './fs*/*'.,['echo ./fs*/* | xargs -n 1 cp test'],0.3042491754373013,0.39567167294524297,0.36154614483659264
"Copy file in current directory of local host to host ""remote"", connecting as ssh user matching current local username, and copying the file in home directory on remote host - enable compression during transfer.",['scp -C file remote:'],0.017405451803181215,0.06980884340032019,0.17478864493679358
"Copy file linked to by ""bar.pdf"" to ""bar.pdf""",['cp --remove-destination `readlink bar.pdf` bar.pdf'],0.055580666363881474,0.1910189918290382,0.3572661076975756
"Copy files printed by ""any_command_what_produces_relative_path_names"" to ""/new/parent/dir"" preserving the directory hierarchy",['any_command_what_produces_relative_path_names | cpio -pamVd /new/parent/dir'],0.4941868189291692,0.8688055785918274,0.4815008492174296
"Copy the owner and group from ""file.txt"" to ""$tempfile""","['chown --reference=file.txt -- ""$tempfile""']",0.4492969037428924,0.3469562375814524,0.30177424608498343
"Count the *.html files residing in the /usr/src directory tree and containing string ""foo""","['find /usr/src -name ""*.html"" | xargs grep -l foo | wc -l']",0.8882678083197124,0.7919511838891381,0.6322498809151845
count amount of jobs running,['jobs | wc -l'],0.07618469473608562,0.1353352832366127,0.7098108717509044
Count files in the current path by modification month,"[""find . -maxdepth 1 -type f -printf '%TY-%Tm\\n' | sort | uniq -c""]",0.5749836399693187,0.5712030783387556,0.5545734810608219
Counts lines in each *.php file sorted by file path.,"[""find . -name '*.php' -type f | sort | xargs wc -l""]",0.6284068262615224,0.6097707975105005,0.7533467625700064
Counts lines of 'file' file.,['wc -l file'],1.0,0.4578831372133982,0.4578831372133982
Counts lines of /dir/file.txt file.,['wc -l /dir/file.txt'],0.6748913185157768,0.6748913185157768,0.6748913185157768
count lines of C or C++ or Obj-C code under the current directory,"['find . \\( -name ""*.c"" -or -name ""*.cpp"" -or -name ""*.h"" -or -name ""*.m"" \\) -print0 | xargs -0 wc']",0.12520777710521586,0.20381497944891389,0.17244003005851558
count the lines of java code for all the java files in the current directory,"['find . -name ""*.java"" -print0 | xargs -0 wc']",0.3518592229289207,0.5351312434796753,0.26611419853753077
"Count the number of differing lines in ""file1"" and ""file2""",['diff file1 file2 | grep ^[\\>\\<] | wc -l'],0.550830937814653,0.550830937814653,0.550830937814653
Count the number of files/directories named file1 under current directory,['find -name file1 | wc -l'],0.4899095764920164,0.7308769013745805,0.6611770676038285
Counts the number of lines in each *.java file in a git repository.,"['git ls-files | grep ""\\.java$"" | xargs wc -l']",0.456142877141656,0.248468954588662,0.6084176206970151
"Counts the number of lines in each *.swift or *.mm file in a git repository, escaping any space in filename.","['git ls-files | sed \'s/ /\\\\ /g\' | grep -E ""\\.*(swift$|mm$)"" | xargs wc -l']",0.5710374713268096,0.39396224555954706,0.22203958075263294
"Count the number of open files for PID ""$PYTHONPID"" every 2 seconds","['watch ""ls /proc/$PYTHONPID/fd | wc -l""']",0.4802612697566501,0.49526373258609174,0.4640143116278167
"Create a full path symbolic link ""$newlink"" from a relative path symbolic link ""$origlink""",['ln -s $(readlink -f $origlink) $newlink'],0.46294386334453724,0.46879186990098537,0.46294386334453724
"Create a ssh tunnel on local port 2222 through ""bridge.example.com"" to ""remote.example.com"" port 22 without executing any commands and run in the background",['ssh -N -L 2222:remote.example.com:22 bridge.example.com&'],0.2801874256718254,0.5505543636658368,0.5314224663376972
"Create a symbolic link in the current directory to ""$file""","['ln -s ""$file""']",1.0,1.0,1.0
"create a symbolic link named ""$ORACLE_HOME/include"" to file ""/usr/include/oracle/11.2/client""",['sudo ln -s /usr/include/oracle/11.2/client $ORACLE_HOME/include'],0.6093476042847518,0.8937417153812486,0.8683729262879204
"Create a symbolc link named ""public_html"" to ""current/app/webroot"" under the current working directory",['ln -s `pwd`/current/app/webroot public_html'],0.7802818594780947,0.7783393021799192,0.7783393021799192
"Create a symbolic link named ""~/bin/subl"" to ""/Applications/Sublime Text 2.app/Contents/SharedSupport/bin/subl""","['ln -s ""/Applications/Sublime Text 2.app/Contents/SharedSupport/bin/subl"" ~/bin/subl']",1.0,1.0,1.0
"Create a symbolic link to file ""/usr/bin/perl"" named with escaped characters ""/usr/local/bin/perl\r\n""","[""sudo ln -s /usr/bin/perl /usr/local/bin/perl`echo -e '\\r'`""]",0.6030406794921881,0.6143567538871342,0.5951616979021712
create a zip file of all the files in some directory,['find $directory -type -f -execdir zip -j $ZipFileName {}\\;'],0.1671608973330323,0.35403213697158437,0.3177981213002028
"create archive ""backup.tar.gz"" from /path/to/catalog",['tar czfP backup.tar.gz /path/to/catalog'],2.3030488340944308e-79,0.88922527244883,0.6173608277795636
Create empty file (or update timestamp to current date/time if file already exists) named with full timestamp (year/month/day/hour/minute/second).,['touch filename_`/bin/date +%Y%m%d%H%M%S`.txt'],0.12082491732707439,0.20981415542713838,0.06907183935878422
"Create empty files (or update timestamps if they exist) with names matching each word in variable ""correctFilePathAndName""","['echo -e ""$correctFilePathAndName"" | xargs touch']",0.5423679315595095,0.4730983067009086,0.2772681025092388
"Create hard links of all files and directories matching ""test/icecream/cupcake/*"" or ""test/mtndew/livewire/*"" in ""test-keep"" preserving directory hierarchy","[""find test -path 'test/icecream/cupcake/*' -o -path 'test/mtndew/livewire/*' | cpio -padluv test-keep""]",0.5879501486998101,0.4797683268261148,0.5809784842995502
"Create symbolic links in the current directory for all files excluding ""CONFIGFILE"" located in ""/your/project""","['find /your/project -maxdepth 1 ! -name ""CONFIGFILE"" -exec ln -s \\{\\} ./ \\;']",0.7324809315946312,0.6067242649158456,0.6745183051503678
"Create symbolic links in the current directory for all files excluding ""CONFIGFILE"" located under ""/your/project"" directory tree","[""find /your/project -type f ! -name 'CONFIGFILE' -exec ln -s \\{\\} ./ \\;""]",0.6346520275762871,0.7076684030377156,0.7473943096066498
"create symbolic links in current directory to all files located in ""dir"" directory and have filename extension ""jpg""",['find dir -name \\*.jpg -print0 | xargs -0 -N1 ln -s'],0.4667125298874272,0.4864396115503982,0.4772885397976923
Creates temporary file with name formatted like '.script.XXXXXX' in '/tmp/' folder and saves path to it in 'script2' variable.,['script2=`mktemp /tmp/.script.XXXXXX`;'],0.7128207380052638,0.7961611814453725,0.7820284998362076
Creates temporary folder relative to directory '/path/to/dir'.,['mktemp -d -p /path/to/dir'],0.22255029954969144,0.8377853400785963,0.6813943375905714
Delete all '-' character from $1 and save the resultant string to variable 'COLUMN',['COLUMN=`echo $1 | tr -d -`'],0.39842406650170187,0.3997821152164888,0.759907656827929
Delete all broken symbolic links under '/usr/ports/packages' directory tree,['find -L /usr/ports/packages -type l -exec rm -- {}\t+'],0.6188397596279078,0.6188397596279078,0.7517610174856553
Delete all directories under '.cache/chromium/Default/Cache/' directory tree that are bigger than 100MB and are at least 1 level deep,['find .cache/chromium/Default/Cache/ -mindepth 1 -type d -size +100M -exec rm -rf {} \\;'],0.8994967329719311,0.8994967329719311,0.7477385280520161
delete all the empty in the current folder do not search in sub directories,['find . -maxdepth 1 -type d -empty -exec rm {} \\;'],0.7751096365953405,0.6696719216439666,0.6518311410813652
delete all the files in the file system which belong to the user edwarda after user confirmation,"['find / -user edwarda -ok rm ""{}"" \\;']",0.743991720478714,0.5224773292758771,0.4508392820474959
delete all the hidden in the folder Musica after user confirmation,"['find Música/* -type f -name "".*"" -exec /usr/bin/rm -i {} \\;']",0.5947257466241153,0.44862064205414537,0.18852846942771861
Delete all in the current directory tree,['find . -delete'],0.23715535229161464,0.2657251941599823,0.34772504705825924
"Delete all regular files that start with 'sess_' in their names, are at least 1 level deep and were modified more than $gc_maxlifetime minutes ago under $save_path directory tree","['find -O3 ""$save_path"" -depth -mindepth 1 -name \'sess_*\' -ignore_readdir_race -type f -cmin ""+$gc_maxlifetime"" -delete']",0.5269574144385669,0.4913634978993862,0.4844979784656341
Delete all regular files under $DIR directory tree that have been modified before file $a,"['find ""$DIR"" -type f \\! -newer ""$a"" -exec rm {} +']",0.46026926874058377,0.6596512907223578,0.4703987072993582
Delete files under $LOCATION that match $REQUIRED_FILES in their names and were modified more than 360 minutes ago,['find $LOCATION -name $REQUIRED_FILES -type f -mmin +360 -delete'],0.7834673875512185,0.6248608277219116,0.7073998223558849
Disables shell option 'nullglob'.,['shopt -u nullglob'],1.0,1.0,1.0
Display 12345 backwards,['echo 12345 | rev'],0.4743107045832293,0.8282477531331041,1.0
dispaly a list of all the files in the file system which belong to a specific user  and exclude searching in the folder proc,['find / -path /proc -prune -o -user <account> -ls'],0.3391663032124855,0.2428295575113945,0.35077879309059323
Display a list of files with sizes in decreasing order of size of all the regular files under $dir directory tree that are bigger than $size in size,['find $dir -type -f size +$size -print0 | xargs -0 ls -1hsS'],0.42814389898340005,0.431585197082357,0.5508058922290754
dispaly a long listig of all the files in the home folder which are bigger than 100KB and discard any errors,['find /home -size +100000 -ls 2>/dev/null'],0.7720457098255714,0.4882388544494465,0.7720457098255714
display a long list of all the files that are bigger than 10KB in current folder,['find . -size +10k -exec ls -l {} \\;'],1.0,0.8868405031432041,0.4918265177356718
display a long listing of all the regular/normal files in the file system which have set uid bit or set gid bit enabled.,['find / -type f \\( -perm -4000 -o -perm -2000 \\) -exec ls -l {} \\;'],0.5414515937950329,0.40435627102747573,0.6051411200247945
display a long listing of all the temp files whose size is 0 bytes and which have not been accessed in the last 10 days,['find /tmp -size 0 -atime +10 -exec ls -l {} \\; > /tmp/checkold.txt'],0.703589003558764,0.6558897577533809,0.6100767854617879
"display all the "".c"" files in the current directory",['find . -name \\*.c -print'],0.44410633990831616,0.5573260228443738,0.6624801353939261
display all the directories in the folder /path/to/dest except tmp directory,['find /path/to/dest -type d \\( ! -name tmp \\) -print'],0.7838850459769391,0.7121451985861663,0.7838850459769391
display all executable files in the folder /home,['find /home -perm /a=x'],1.0,1.0,1.0
"display all the files having the word ""searched phrasse"" in their name in the current folder excluding those from the paths ""/tmp/"" and ""./var/log""","['find . -type f -name ""*searched phrasse*"" ! -path ""./tmp/*"" ! -path ""./var/log/*""']",0.199290651714591,0.545944487948572,0.5695359758535558
display all the files in the kat folder,"['find kat -printf ""%f\\n""']",0.15335496684492847,0.15335496684492847,0.15335496684492847
display all the files  in the current folder excluding the perl files,"['find . -not -name ""*.pl""']",0.1885725566385605,0.45130065930684987,0.08666303592660433
"display all the files in the current folder excluding search in the paths containing the folder having the word ""mmm""",['find . ! -path *mmm*'],0.60066011121956,0.284854386307551,0.37897104509804447
display all the files in current folder which are bigger than 10KB,['find . -size +10k'],1.0,0.8077627415106434,1.0
"display all the files in the entire file system which begin with ""apache-tomcat""","['find / -name ""apache-tomcat*""']",0.8710050512714447,0.8710050512714447,0.6616022467874063
display all the files in the file system which belong to the group lighttpd,['find / -group lighttpd -print'],0.7274705090242837,0.7274705090242837,0.7274705090242837
"display all the files in the folder ""/Users/Me/Desktop"" which have read permission to them",['find /Users/Me/Desktop -readable'],0.728281156510351,0.728281156510351,0.728281156510351
"display all the files in the home folder which begin with ""arrow""","[""find ~ -name 'arrow*'""]",0.7178970818142898,0.4751132438608344,0.7178970818142898
display all the files in the home folder which have read permission to the user,['find /home -perm /u=r'],0.816496580927726,0.4487605183448698,0.4408775025210474
"display all the hidden files in the directory ""/dir/to/search/""","['find /dir/to/search/ -name "".*"" -print']",0.7202725217688152,0.8099529059990935,0.6336005641242
display all the jpg files in the current folder which belong to the user nobody,['find . -name *.jpg -user nobody'],0.7571389552562844,0.7571389552562844,0.7571389552562844
Display all lines contiaining 'funcname' in system map file matching current kernel.,['cat /boot/System.map-`uname -r` | grep funcname'],0.5759258055508479,0.59708119966135,0.5646118634803302
"display all the log files in the folder /var/log, print0 is used to handle files with only spaces in their names or which have newlines in their names","['find /var/log -name ""*.log"" -print0']",0.612175510946667,0.8791368646817761,0.5703861713598207
display all mp3 files in the file system which have not been accessed in the last 24 hours,['find / -name “*.mp3” -atime +01 -type f'],0.7618068813406861,0.5840051294303379,0.7362521330644501
"display all php,xml and phtml files in current folder","[""find . -name '*.php' -o -name '*.xml' -o -name '*.phtml'""]",0.3964903060355635,0.5858133726043929,0.4342596479955608
display all normal/regular files in current folder in sorted order,['find . -type f print0 | sort -r'],0.5950242961395869,0.8827916928185874,0.5950242961395869
display all regular/normal files in the current folder which are accessed in the last 7*24 hours,['find . -type f -atime -7'],0.796692189389272,1.0,0.4844663175856947
display all normal/regular files in current folder which have readable permission,['find . -type f -readable'],0.4884848026519855,0.5694299147290928,0.3700992438113707
display all the text files from the current folder and skip searching in skipdir1 and skipdir2 folders,"['find . \\( -name skipdir1 -prune , -name skipdir2 -prune -o -name ""*.txt"" \\) -print']",0.6926416821842204,0.8646854078508353,0.41234999954111845
display all text files in the folder /tmp/1 excluding those which do not have spaces in their names,"[""find /tmp/1 -iname '*.txt' -not -iname '[0-9A-Za-z]*.txt'""]",0.44310359257874193,0.5216258755786205,0.50991022685839
"Displays calendar of a previous, current and next month for December of 2120 year.",['cal -3 12 2120'],0.38260294162784475,0.20146541570193946,0.10252671801727671
display the count of number html files in the current folder,"['find . -name ""*.html"" -print | xargs -l -i wc {}']",0.4654114369105641,0.6134571149069034,0.380607393219433
(Linux specific) Display current running kernel's compile-time config file.,['cat /boot/config-`uname -r`'],0.3402771065553681,0.17920340179139746,0.08484831806446336
"Display file type information for all instances of ""file"" in the current PATH.",['which file | xargs file'],0.18773749983024718,0.25352332492623486,0.2717221660870567
Display human-readable file type description of ascii.txt,['file ascii.txt'],1.0,1.0,1.0
display long listing of all the symbolic links in the current folder,['find . -type l -exec ls -l {} \\;'],1.0,1.0,1.0
Displays status of currently active network interfaces.,['ifconfig'],0.28489318277723963,0.6786502681586727,0.6786502681586727
"Download ""https://s3.amazonaws.com/sampletest/sample.tar.gz"", unzip it, and untar it replacing filenames with ""old"" to ""new""","['curl https://s3.amazonaws.com/sampletest/sample.tar.gz | gunzip | pax -r -s ""/old/new/""']",0.4730955781656785,0.503704879187682,0.10863519232357637
"download a file ""http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip"" using cookies ""oraclelicense=accept-securebackup-cookie""","['curl -L -C - -b ""oraclelicense=accept-securebackup-cookie"" -O http://download.oracle.com/otn-pub/java/jce/8/jce_policy-8.zip']",0.892685702965102,0.8768615571698726,0.9044458781539984
"download contents from  ""http://url"" using a proxy server",['curl -x http://proxy_server:proxy_port --proxy-user username:password -L http://url'],0.2923092463569556,0.49774567727487445,0.21789173031620712
"download contents from ""http://www.example.com"" using a proxy server",['curl http://www.example.com --proxy http://125.119.175.48:8909'],0.46852539509250307,0.643159920599777,0.5809047579376652
"Dry run making directories in ""/TARGET_FOLDER_ROOT/"" for each "".mov"" file in the current directory tree","['find . -type f -iname \\*.mov -printf \'%h\\n\' | sort | uniq | xargs -n 1 -d \'\\n\' -I \'{}\' echo mkdir -vp ""/TARGET_FOLDER_ROOT/{}""']",0.10290934815657,0.5471899374199508,0.44942837124823
"Dump the character output of ""echo 'hi'""","[""echo 'hi' | od -c""]",1.0,0.5683565265173782,1.0
Enables shell option 'nullglob'.,['shopt -s execfail'],0.4924790605054523,0.4924790605054523,0.4924790605054523
"Execute ""cd ${REMOTE_PATH}; mkdir -p $i"" on host ""$SERVER"" as user ""$USER"" and connect standard input to ""/dev/null""","['ssh $USER@$SERVER ""cd ${REMOTE_PATH}; mkdir -p $i"" < /dev/null']",0.6763808177000735,0.7896315290256377,0.7858075351590706
"Execute ""cd /some/directory/myprogram"" in the background on target machine ""user@target"" and write standard output and standard error to foo.out and foo.err","['ssh user@target ""cd /some/directory; nohup myprogram > foo.out 2> foo.err < /dev/null""']",0.5754514733007464,0.6776610501105959,0.3841759489458987
"Execute ""ls -l"" every 0.5 seconds",['watch -n 0.5 ls -l'],0.4781982357165065,0.4781982357165065,0.8187307530779819
"Execute all commands in ""/path/to/commands-inc.sh"" on server ""remote"" as user ""user""","[""ssh user@remote 'bash -s' < /path/to/commands-inc.sh""]",0.8231522742830563,0.5926052172550949,0.7553136780378995
Execute Shell script with find comamnd,"['find -maxdepth 0 -name ""*.sh""  -exec ./lastline.sh {} \\;']",0.14221959038153822,0.4922852552611751,0.0025956791734401065
"Extract any line in sorted file ""A"" that does not appear in ""B"", ""C"", or ""D""",['cat B C D | sort | comm -2 -3 A -'],0.2607870835813377,0.21510544667604686,0.23564773123966476
